frame_diff,frame_number,side,Rally,,
1,2901,left,,,
1,2902,left,,,
1,2903,left,,,
1,2904,left,,,
1,2905,left,,,
1,2906,left,,,
1,2908,right,,,
1,2909,right,,,
1,2910,right,,,
1,2911,right,,,
1,2912,right,,,
55,2984,right,,,
2,2986,right,,,
1,2987,right,,,
1,2988,right,,,
1,2989,right,,,
1,2990,right,,,
1,2991,right,,,
1,2992,right,,,
1,2993,right,,,
1,2994,left,,,
1,2995,left,,,
1,2996,left,,,
1,2997,left,,,
1,2998,left,,,
1,2999,left,,,
1,3000,left,,,
1,3001,left,,,
1,3002,left,,,
1,3004,left,,,
2,3006,left,,,
1,3007,left,,,
2,3010,right,,,
1,3011,right,,,
1,3012,right,,,
1,3013,right,,,
1,3014,right,,,
4,3018,right,,,
1,3019,right,,,
1,3020,right,,,
2,3022,left,,,
1,3023,left,,,
1,3024,left,,,
2,3026,left,,,
1,3027,left,,,
3,3030,left,,,
1,3031,left,,,
1,3032,left,,,
1,3034,right,,,
1,3035,right,,,
1,3036,right,,,
1,3037,right,,,
1,3038,right,,,
1,3039,right,,,
1,3040,right,,,
3,3043,right,,,
2,3045,right,,,
1,3046,left,,,
1,3047,left,,,
1,3048,left,,,
1,3049,left,,,
1,3050,left,,,
1,3051,left,,,
1,3052,left,,,
3,3055,left,,,
1,3056,left,,,
2,3059,right,,,
1,3060,right,,,
1,3061,right,,,
1,3062,right,,,
1,3063,right,,,
1,3064,right,,,
1,3065,right,,,
1,3066,right,,,
2,3068,right,,,
2,3070,right,,,
1,3071,right,,,
1,3072,right,,,
1,3073,left,,,
1,3074,left,,,
1,3075,left,,,
1,3076,left,,,
1,3077,left,,,
1,3078,left,,,
1,3079,left,,,
1,3080,left,,,
3,3083,left,,,
1,3084,left,,,
1,3085,left,,,
1,3086,left,,,
1,3087,left,,,
1,3089,right,,,
1,3090,right,,,
1,3091,right,,,
1,3092,right,,,
1,3093,right,,,
1,3094,right,,,
1,3095,right,,,
